FIPS,year,deaths,population,crude_rate,was_suppressed,yoy_pct_change,spike,svi_unemp_rate,svi_no_hs_diploma,svi_uninsured,svi_age65_plus,svi_age17_under,svi_disabled,svi_single_parent,svi_minority,svi_limited_english,svi_multi_unit,svi_mobile_homes,svi_crowded_housing,svi_no_vehicle,svi_group_quarters,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,svi_poverty_rate,svi_housing_burden,acs_poverty_rate,acs_unemp_rate,acs_median_income,violence_level
51023,2022,5.0,34135.0,14.647722279185588,1,-0.7880474586201764,0,2.8,6.4,5.0,22.5,19.3,12.2,3.4,7.3,0.3,2.6,8.9,0.6,3.1,1.1,0.0191,0.0471,0.2148,0.0563,0.0118,12.6,14.9,7.193445771562332,3.0916144434497164,77680.0,low
51023,2023,5.0,34125.0,14.652014652014651,1,0.0293040293040261,0,2.8,6.4,5.0,22.5,19.3,12.2,3.4,7.3,0.3,2.6,8.9,0.6,3.1,1.1,0.0191,0.0471,0.2148,0.0563,0.0118,12.6,14.9,6.0882300197262245,2.6303088803088803,80467.0,low
51025,2020,5.0,16037.0,31.1779011036977,1,2.1637463365966223,0,6.9,23.0,8.2,21.4,15.9,19.4,8.1,59.4,0.3,0.6,27.3,1.2,7.2,15.1,0.8959,0.6248,0.922,0.7397,0.8698,30.1,26.5,19.493725659887495,6.893004115226338,46111.0,high
51025,2021,5.0,15940.0,31.36762860727729,1,0.6085319949811656,0,6.9,23.0,8.2,21.4,15.9,19.4,8.1,59.4,0.3,0.6,27.3,1.2,7.2,15.1,0.8959,0.6248,0.922,0.7397,0.8698,30.1,26.5,17.77350964024525,6.885919835560124,49597.0,high
51025,2022,5.0,15921.0,31.405062496074365,1,0.1193392374850867,0,6.9,23.0,8.2,21.4,15.9,19.4,8.1,59.4,0.3,0.6,27.3,1.2,7.2,15.1,0.8959,0.6248,0.922,0.7397,0.8698,30.1,26.5,17.166691058100394,5.162328166130448,52678.0,high
51025,2023,5.0,15749.0,31.748047495079053,1,1.0921328338307283,0,6.9,23.0,8.2,21.4,15.9,19.4,8.1,59.4,0.3,0.6,27.3,1.2,7.2,15.1,0.8959,0.6248,0.922,0.7397,0.8698,30.1,26.5,15.271079935700715,6.332948643969995,52978.0,high
51027,2019,5.0,21004.0,23.804989525804608,1,1.0331365454199206,0,8.1,29.7,13.6,20.6,18.0,25.5,7.0,4.9,0.2,1.5,34.5,0.7,7.3,4.2,0.9682,0.561,0.1016,0.673,0.7545,27.7,22.4,28.359427528575544,7.214254671881791,31956.0,high
51027,2020,5.0,20613.0,24.256537136758354,1,1.896861204094496,0,6.5,27.4,10.0,22.3,17.1,30.2,4.7,5.3,0.1,1.6,32.8,0.7,6.2,4.0,0.8638,0.3386,0.1066,0.6009,0.6318,38.3,20.2,24.90101187857457,6.456367924528301,34302.0,high
51027,2021,5.0,19816.0,25.232135647961243,1,4.022002422285033,0,6.5,27.4,10.0,22.3,17.1,30.2,4.7,5.3,0.1,1.6,32.8,0.7,6.2,4.0,0.8638,0.3386,0.1066,0.6009,0.6318,38.3,20.2,25.239276852180076,5.837219798405296,37093.0,high
51027,2022,5.0,19352.0,25.83712277800744,1,2.397684993799089,0,6.5,27.4,10.0,22.3,17.1,30.2,4.7,5.3,0.1,1.6,32.8,0.7,6.2,4.0,0.8638,0.3386,0.1066,0.6009,0.6318,38.3,20.2,25.277230801119288,5.965463108320251,39591.0,high
51027,2023,5.0,19087.0,26.195840100592022,1,1.3883795253313786,0,6.5,27.4,10.0,22.3,17.1,30.2,4.7,5.3,0.1,1.6,32.8,0.7,6.2,4.0,0.8638,0.3386,0.1066,0.6009,0.6318,38.3,20.2,23.939151321056844,3.624875290987696,42216.0,high
51029,2019,5.0,17148.0,29.1579192908794,1,-0.8689059948682126,0,6.9,22.1,12.1,18.3,18.7,17.6,9.4,38.9,0.2,1.4,30.5,1.3,6.1,12.1,0.8618,0.4947,0.4782,0.7488,0.7901,17.1,22.4,15.751211631663974,7.016812560789218,49025.0,high
51029,2020,5.0,17168.0,29.12395153774464,1,-0.1164958061509865,0,5.8,17.5,10.4,19.5,18.5,16.6,6.9,38.8,0.4,1.1,29.1,1.3,5.9,12.6,0.8345,0.3889,0.7794,0.7209,0.775,28.6,24.7,16.172416111895636,5.779359430604982,48603.0,high
51029,2021,5.0,16947.0,29.503746975865933,1,1.3040656163332798,0,5.8,17.5,10.4,19.5,18.5,16.6,6.9,38.8,0.4,1.1,29.1,1.3,5.9,12.6,0.8345,0.3889,0.7794,0.7209,0.775,28.6,24.7,14.78460190116632,7.018561484918793,49841.0,high
51029,2023,5.0,16978.0,29.449876310519496,1,-0.1825892331252148,0,5.8,17.5,10.4,19.5,18.5,16.6,6.9,38.8,0.4,1.1,29.1,1.3,5.9,12.6,0.8345,0.3889,0.7794,0.7209,0.775,28.6,24.7,13.734339215950426,4.867892016082711,59199.0,high
51031,2019,5.0,54885.0,9.10995718320124,1,-49.919832376787824,0,3.7,14.0,9.8,19.1,20.0,15.5,7.7,20.0,0.6,2.5,17.3,0.8,5.4,0.9,0.3465,0.2827,0.5018,0.1913,0.2615,11.8,22.4,10.972948188904171,3.7019493532519583,49664.0,low
51031,2020,5.0,55304.0,9.04093736438594,1,-0.7576305511355378,0,3.8,11.2,8.2,20.0,20.0,14.2,5.4,20.9,1.4,3.8,17.3,1.0,5.1,1.1,0.3727,0.423,0.5621,0.2931,0.3682,23.7,20.7,10.475807483503024,3.836770902639166,52319.0,low
51031,2021,5.0,55492.0,9.01030779211418,1,-0.3387875729834829,0,3.8,11.2,8.2,20.0,20.0,14.2,5.4,20.9,1.4,3.8,17.3,1.0,5.1,1.1,0.3727,0.423,0.5621,0.2931,0.3682,23.7,20.7,9.448933537162407,4.403414294611129,53918.0,low
51031,2022,5.0,55141.0,9.06766290056401,1,0.6365499356195913,0,3.8,11.2,8.2,20.0,20.0,14.2,5.4,20.9,1.4,3.8,17.3,1.0,5.1,1.1,0.3727,0.423,0.5621,0.2931,0.3682,23.7,20.7,9.977705493220276,4.944537084028131,59022.0,low
51031,2023,10.0,55270.0,18.09299800977022,0,99.53320065134793,1,3.8,11.2,8.2,20.0,20.0,14.2,5.4,20.9,1.4,3.8,17.3,1.0,5.1,1.1,0.3727,0.423,0.5621,0.2931,0.3682,23.7,20.7,10.104025493571664,4.679617902758398,62608.0,low
51033,2019,5.0,30725.0,16.273393002441008,1,0.1529698942229463,0,5.4,14.4,7.0,15.9,23.1,12.1,9.3,36.5,0.5,0.3,11.0,2.1,4.8,7.2,0.3223,0.305,0.5852,0.3973,0.3481,8.3,22.4,8.801170634212498,3.743389924853883,65103.0,low
51033,2020,5.0,30860.0,16.202203499675957,1,-0.4374594944912403,0,3.0,12.0,6.3,16.2,23.2,13.0,6.9,36.8,0.5,0.3,8.6,2.6,4.4,7.3,0.2069,0.338,0.7575,0.422,0.3256,12.9,22.1,8.201703240397187,3.0105064655172415,67901.0,low
51033,2021,5.0,31332.0,15.958125877696922,1,-1.5064470828546002,0,3.0,12.0,6.3,16.2,23.2,13.0,6.9,36.8,0.5,0.3,8.6,2.6,4.4,7.3,0.2069,0.338,0.7575,0.422,0.3256,12.9,22.1,10.834838171968329,4.140759359703664,76528.0,low
51033,2022,5.0,31957.0,15.646024345213885,1,-1.955753043151717,0,3.0,12.0,6.3,16.2,23.2,13.0,6.9,36.8,0.5,0.3,8.6,2.6,4.4,7.3,0.2069,0.338,0.7575,0.422,0.3256,12.9,22.1,11.566824931811292,4.626893820330672,83562.0,low
51033,2023,5.0,32640.0,15.318627450980392,1,-2.0925245098039347,0,3.0,12.0,6.3,16.2,23.2,13.0,6.9,36.8,0.5,0.3,8.6,2.6,4.4,7.3,0.2069,0.338,0.7575,0.422,0.3256,12.9,22.1,11.556260743091366,4.55364353606262,86267.0,low
51035,2019,5.0,29791.0,16.78359236010876,1,-0.5202913631633705,0,3.5,19.2,11.9,23.1,18.8,18.3,7.2,5.3,0.9,1.4,22.3,1.1,4.8,0.6,0.5439,0.5199,0.3321,0.1461,0.3369,15.0,22.4,14.60830117137247,2.738905934296191,44835.0,low
51035,2020,5.0,30074.0,16.625656713440183,1,-0.9410121699807132,0,4.4,19.1,11.4,24.5,18.2,18.5,3.8,5.8,1.2,0.8,22.0,1.6,4.6,0.6,0.6187,0.5452,0.1359,0.1706,0.3947,24.9,20.1,15.990687002294507,4.391610509578254,44518.0,low
51035,2021,5.0,29048.0,17.212889011291654,1,3.5320848251170314,0,4.4,19.1,11.4,24.5,18.2,18.5,3.8,5.8,1.2,0.8,22.0,1.6,4.6,0.6,0.6187,0.5452,0.1359,0.1706,0.3947,24.9,20.1,15.18856195607128,5.059162621359223,45220.0,low
51035,2022,5.0,29147.0,17.154424125982093,1,-0.3396575976944285,0,4.4,19.1,11.4,24.5,18.2,18.5,3.8,5.8,1.2,0.8,22.0,1.6,4.6,0.6,0.6187,0.5452,0.1359,0.1706,0.3947,24.9,20.1,15.236614853195164,4.819743153334365,49113.0,low
51035,2023,5.0,29239.0,17.100448031738434,1,-0.3146482437839838,0,4.4,19.1,11.4,24.5,18.2,18.5,3.8,5.8,1.2,0.8,22.0,1.6,4.6,0.6,0.6187,0.5452,0.1359,0.1706,0.3947,24.9,20.1,16.214159720540934,5.0344827586206895,52575.0,low
51036,2020,5.0,6821.0,73.30303474563847,1,2.081806186776141,0,3.1,18.5,7.9,24.9,15.1,19.0,2.0,57.2,0.2,1.2,12.8,1.1,5.9,0.0,0.4357,0.147,0.9099,0.113,0.2826,19.7,22.7,12.744815668202769,3.0639042894660053,60096.0,high
